date,year,ticker,country,sector_2sic,ret_1m_pct,ret_3m_mean,ret_3m_vol,log_market_value,mktcap_growth_1m,dividend_yield,dividend_yield_lag1,esg_score_lag1,rf_usa,cpi_usa,fx_rate,esg_score
2023-12-29 00:00:00,2023,E:PROB,Spain,28,0.19205785,0.09260721,0.201316824,8.79267565,0.192055054,0,0,69.88,0.0043,129.4194,0.9163172,69.88
2017-12-29 00:00:00,2017,J:DSN,Japan,62,0.012747126,0.036383992,0.062557462,13.99890654,0.012750323,3.68,3.72,77.89,0.0009,104.0111,112.9519,77.89
2019-12-31 00:00:00,2019,U:ALLE,Ireland,73,0.03988582,0.064606506,0.047652094,9.356328111,0.037573625,0.87,0.9,56.54,0.0014,108.4201,0.89996,56.54
2023-12-29 00:00:00,2023,CN:WGI,China,38,-0.059297653,-0.013369559,0.049697693,10.34741572,-0.059278113,1.37,1.29,24.18,0.0043,129.4194,7.149575,24.18
2019-12-31 00:00:00,2019,R:NRPJ,Luxembourg,65,-0.001528047,-0.010408468,0.042729516,11.21550021,-0.00153253,0,0,64.51,0.0014,108.4201,0.89996,64.51
2019-12-31 00:00:00,2019,U:RHP,USA,70,-0.018715535,0.023418165,0.039694398,8.467450274,0.036330842,4.15,4.03,41.8,0.0014,108.4201,1,41.8
2019-12-31 00:00:00,2019,F:AMF,France,37,-0.052631505,-0.033831875,0.023109082,9.182450027,-0.052631118,1.81,1.72,52.78,0.0014,108.4201,0.89996,52.78
2019-12-31 00:00:00,2019,U:CBRE,USA,65,0.07488656,0.049957985,0.034808629,9.929005678,0.074886025,0,0,86.5126,0.0014,108.4201,1,86.5126
2021-12-31 00:00:00,2021,CN:AEH,China,80,-0.009371895,-0.073704582,0.05761383,12.33959866,-0.009371888,0.27,0.27,54.99,0.0001,117.6295,6.367165,54.99
2018-12-31 00:00:00,2018,K:BEAI,China,53,-0.044831623,-0.042451893,0.066021454,9.656148,-0.044827485,3.53,3.37,50.63,0.002,105.9979,6.885528,50.63
2018-12-31 00:00:00,2018,LEE,USA,27,-0.058063331,-0.070514822,0.084986345,4.792313433,-0.05804234,0,0,16.13,0.002,105.9979,1,16.13
2016-12-30 00:00:00,2016,I:UCG,Italy,60,0.32934949,0.112517988,0.229494075,9.734485891,0.352126037,4.21,5.69,80.73,0.0003,101.8627,0.9488513,80.73
2017-12-29 00:00:00,2017,NCSM,USA,35,-0.122677465,-0.148940079,0.070368859,6.472748068,-0.122621049,0,0,19.41,0.0009,104.0111,1,19.41
2021-12-31 00:00:00,2021,CNOB,USA,60,0.00646345,0.032516434,0.081592731,7.166567087,0.006464295,1.59,1.6,31.76,0.0001,117.6295,1,31.76
2016-12-30 00:00:00,2016,D:MUV2,Germany,63,0.041867367,0.026541505,0.046913329,10.26856599,0.041866617,4.61,4.8,69.96,0.0003,101.8627,0.9488513,69.96
2014-12-31 00:00:00,2014,U:GM,USA,37,0.053916683,0.033878062,0.044297437,10.93470854,0.044271997,3.44,3.59,59.19,0,99.06969,1,59.19
2015-12-31 00:00:00,2015,J:USHI,Japan,36,-0.071904054,0.058756356,0.121189006,12.36434439,-0.071902558,1.43,1.33,53.67,0.0001,99.79242,121.69,53.67
2017-12-29 00:00:00,2017,B:NYR,Belgium,10,0.121338912,0.004334308,0.124753421,6.595397927,0.121667816,0,0,63.56,0.0009,104.0111,0.8452995,63.56
2020-12-31 00:00:00,2020,ELOX,USA,87,0.32934949,0.16138758,0.217261183,5.07398561,0.352179906,0,0,37.08,0.0001,109.8968,1,37.08
2021-12-31 00:00:00,2021,SYNA,USA,73,0.025757984,0.186302719,0.230630055,9.338686092,0.025757942,0,0,41.48,0.0001,117.6295,1,41.48
2019-12-31 00:00:00,2019,CLFD,USA,36,0.027258596,0.056112733,0.039063379,5.249022075,0.028414002,0,0,43.33,0.0014,108.4201,1,43.33
2017-12-29 00:00:00,2017,J:UUIC,Japan,67,0.017589279,0.001326092,0.014272177,13.11277657,0.017576811,3.86,3.93,17.99,0.0009,104.0111,112.9519,29.92
2018-12-31 00:00:00,2018,U:NX,USA,34,-0.13417155,-0.084811145,0.132658891,6.120912614,-0.180045025,2.35,2.03,48.49,0.002,105.9979,1,48.49
2021-12-31 00:00:00,2021,CN:BVE,China,73,-0.007643001,0.014381634,0.102508338,10.18998668,-0.007652233,0.18,0.18,22.33,0.0001,117.6295,6.367165,22.33
2015-12-31 00:00:00,2015,J:KWN,Japan,37,-0.07566788,0.038042666,0.136759588,13.5347424,-0.075665021,2.65,2.45,50.21,0.0001,99.79242,121.69,50.21
2021-12-31 00:00:00,2021,B:MITR,Belgium,28,-0.00101998,0.016168931,0.031632904,6.780080986,-0.000998842,0,0,45.22,0.0001,117.6295,0.8848417,45.22
2017-12-29 00:00:00,2017,CN:NLI,China,63,0.123543975,0.076313821,0.085632322,11.89408285,0.123560512,0.68,0.77,39.01,0.0009,104.0111,6.59355,39.01
2021-12-31 00:00:00,2021,CN:TLT,China,10,-0.12135866,-0.003677219,0.113163247,10.44686826,-0.121361839,0.25,0.22,12.51,0.0001,117.6295,6.367165,12.51
2020-12-31 00:00:00,2020,ETON,USA,28,0.023929471,0.011959173,0.083832639,5.286548383,0.028086966,0,0,8.32,0.0001,109.8968,1,8.32
2014-12-31 00:00:00,2014,A:HFRX,Spain,14,0.05,0.005908776,0.041453884,4.838739203,0.049958437,0,0,17.36,0,99.06969,0.8121961,17.36
2017-12-29 00:00:00,2017,CRUS,USA,36,-0.061191572,-0.008167035,0.055921155,8.10218368,-0.061188105,0,0,33.06,0.0009,104.0111,1,33.06
2021-12-31 00:00:00,2021,CN:ABT,China,28,0.022117796,-0.005810406,0.069070372,10.30899799,0.022119016,0.28,0.29,31.67,0.0001,117.6295,6.367165,31.67
2019-12-31 00:00:00,2019,J:BIN,Japan,35,0.04654388,0.051040119,0.0050989,13.2971612,0.046543838,2.64,2.76,79.02,0.0014,108.4201,109.1786,79.02
2022-12-30 00:00:00,2022,U:BCC,USA,50,-0.072528131,0.058846588,0.113784632,7.904286853,-0.072530309,0.87,0.81,34.71,0.0033,125.2218,1,34.71
2019-12-31 00:00:00,2019,F:ERA,France,10,0.129610855,0.007137942,0.112977653,7.107417284,0.12962586,1.31,1.48,74.71,0.0014,108.4201,0.89996,74.71
2018-12-31 00:00:00,2018,U:EQT,USA,49,0.009619925,-0.069566982,0.140658681,8.477641223,0.009619121,0.64,0.64,36.21,0.002,105.9979,1,36.21
2018-12-31 00:00:00,2018,BLFS,USA,38,0.005263158,-0.108970455,0.146062373,5.405151795,0.005012645,0,0,35.1,0.002,105.9979,1,35.1
2015-12-31 00:00:00,2015,U:BRK.A,USA,63,-0.017679669,0.004808184,0.037348064,11.98568342,-0.017679062,0,0,10.98,0.0001,99.79242,1,10.98
2015-12-31 00:00:00,2015,J:COMM,Japan,73,-0.020007184,-0.007206561,0.013361022,14.31588516,-0.020000012,1.02,1,38.04,0.0001,99.79242,121.69,38.04
2017-12-29 00:00:00,2017,U:WRB,USA,63,0.036602901,0.027154328,0.009662817,9.074129965,0.036602938,0.78,0.81,42.09,0.0009,104.0111,1,42.09
2018-12-31 00:00:00,2018,D:UTDI,Germany,48,-0.038006098,-0.019898235,0.088070614,8.966368918,-0.038005363,2.22,2.14,27.1,0.002,105.9979,0.8787457,27.1
2019-12-31 00:00:00,2019,J:ITCP,Japan,56,0.020584657,0.027706685,0.0491815,13.32790524,0.020576214,2.02,2.06,15.43,0.0014,108.4201,109.1786,15.43
2023-12-29 00:00:00,2023,B:EXM,Belgium,44,-0.006542122,0.017336032,0.025453537,6.11412456,-0.006525035,10.9404,10.7005,24.37,0.0043,129.4194,0.9163172,24.37
2014-12-31 00:00:00,2014,U:SAFE,USA,65,-0.044795036,0.004454834,0.048004711,7.058637767,-0.0445728,0,0,26.73,0,99.06969,1,26.73
2023-12-29 00:00:00,2023,CN:ZX2,China,28,-0.018828874,0.018273067,0.082027449,8.715194509,-0.018824003,1.67,1.64,21.67,0.0043,129.4194,7.149575,21.67
2015-12-31 00:00:00,2015,U:HBI,USA,23,-0.040429574,0.008892723,0.082088527,9.352820356,-0.040430518,1.36,1.3,62.63,0.0001,99.79242,1,62.63
2016-12-30 00:00:00,2016,U:GMS,USA,50,0.166041358,0.103083439,0.1473133,7.089084677,0.166066843,0,0,13.95,0.0003,101.8627,1,13.95
2022-12-30 00:00:00,2022,U:UAA,USA,23,0.016009933,0.159532197,0.166654076,7.558558474,0.015999873,0,0,40.73,0.0033,125.2218,1,40.73
2014-12-31 00:00:00,2014,O:ERS,Austria,60,-0.116833286,0.025156115,0.125245941,9.020051158,-0.116850265,1.04,0.92,52.8,0,99.06969,0.8121961,52.8
2016-12-30 00:00:00,2016,U:STC,USA,63,-0.021740016,0.01496805,0.038702437,6.981888251,-0.028663426,2.6,2.53,28.43,0.0003,101.8627,1,28.43
2015-12-31 00:00:00,2015,J:KKN,Japan,44,0.027681661,-0.001191122,0.062815691,12.40590376,0.027668099,3.27,3.36,60.04,0.0001,99.79242,121.69,60.04
